code,description,nesting_suitability_small,nesting_suitability_big,foraging_suitability_small_season_1,foraging_suitability_big_season_1,fl_resource_weight_season_1,foraging_suitability_small_season_2,foraging_suitability_big_season_2,fl_resource_weight_season_2,foraging_suitability_small_season_3,foraging_suitability_big_season_3,fl_resource_weight_season_3
111,Formaciones adehesadas de quercíneas y otras frondosas,0.348354309797287,0.7629090535920113,0.5270050459075719,0.5439976642373949,0.8660277749877423,0.2167662817519158,0.7466754445340484,0.11536407600924373,0.6811675655189902,0.4054911960847676,0.018608149003013996
121,Bosques mediterráneos esclerófilos densos,0.792607226409018,0.03356302576139569,0.29756707907654345,0.3658408457413316,0.642248370219022,0.9946171899791807,0.16061682836152613,0.11536407600924373,0.39883152791298926,0.16721888887695968,0.24238755377173427
122,Bosques mediterráneos esclerófilos dispersos,0.81905073300004,0.3412064320873469,0.3934519656468183,0.8653193104546517,0.14632399706169963,0.6634138370864093,0.5011662014294416,0.11536407600924373,0.9317190563306212,0.740093745989725,0.7383119269290567
131,Bosques caducifolios densos,0.8797939692158252,0.6135327718220651,0.7690063763875514,0.6869495648425072,0.9636205828282982,0.5021811106707901,0.4889101118315011,0.11536407600924373,0.16822301712818444,0.43587062507867813,-0.07898465883754202
132,Bosques caducifolios dispersos,0.040141848381608725,0.07425197656266391,0.9944278211332858,0.574123571626842,0.5549061200581491,0.5688958892133087,0.14470715494826436,0.11536407600924373,0.6003839324694127,0.8456694176420569,0.3297298039326072
141,Bosques de coníferas densas,0.5065301519352943,0.169433718547225,0.8580999292898923,0.3162225461564958,0.25348209915682673,0.8121069737244397,0.04036202002316713,0.11536407600924373,0.8710150555707514,0.18352415063418448,0.6311538248339296
142,Bosques de coníferas dispersas,0.8307464686222374,0.7086101877503097,0.8227976395282894,0.4421041961759329,0.48066177614964545,0.0988334883004427,0.04434680426493287,0.11536407600924373,0.1477097966708243,0.673243455355987,0.40397414784111085
151,Cultivos forestales y otras plantaciones arbóreas densas,0.5528183658607304,0.4134636556264013,0.9224255618173629,0.19650572072714567,0.8576980540528893,0.07589024514891207,0.7703140843659639,0.11536407600924373,0.6754090702161193,0.25196829135529697,0.026937869937866954
152,Cultivos forestales y otras plantaciones arbóreas dispersas,0.9484199355356395,0.7885620289016515,0.7081456843297929,0.5286066783592105,0.7545714690349996,0.06380400457419455,0.41321209631860256,0.11536407600924373,0.6377625504974276,0.6752100128214806,0.1300644549557567
221,Matorral húmedo (nivel 3),0.018054048530757427,0.8962403726764023,0.6366578286979347,0.5400258344598114,0.5622327320743352,0.39564606500789523,0.03105378383770585,0.11536407600924373,0.7292322407010943,0.9551235279068351,0.3224031919164211
